CellIdx,Sentence
464,"{frank, cc:  , pitt/eu/enron@enron, 30/01/2001 13:45, rohan ziegelaar, ---------------------------, ---------------------- forwarded by michael pitt/eu/enron on 06/02/2001 17:00 , ---, it would be of interest., 	from:  frank hayden @ enron                           02/06/2001 12:06 pm, cc: lacrecia davenport/corp/enron@enron, bharat khanna/na/enron@enron , allen/hou/ect@ect, john j lavorato/corp/enron, kevin m presto/hou/ect@ect, 	, 	, 	enron north america corp.,    , 02:12 pm ---------------------------, ---------------------- forwarded by phillip k allen/hou/ect on 02/06/2001 , below are some articles relating to aluminum, power and gas prices.  thought }"
465,"{send it to ina rangel she can forward it to appropriate traders.  there are , too many to list individually}"
466,"{phillip, new braunfels buyer a quick look at the deal., higher with the terms described in the 1st email.  do you want to give the , you can go ahead and negotiate with the buyer and strike the deal at $740 or , require $75k cash from the buyer.  after broker fees and a title policy, i , sales price of $740k and carry a second note of $210k.  this would still only , my target is to get $225 back out of the stage.  therefore, i could take a , jeff,, would net around $20k cash.  }"
467,"{is pushing too far., phillip, email or call  me later today., started on the list., braunfels buyer.  if we can't come to terms with the first buyer i will get , hopefully the buyer can live with these terms.  i got your fax from the new , earnest money is receipted or is it once the feasibility study is complete?, can you clarify the dates in the contract.  is the effective date the day the , the deal work with such an attractive second note.  guaranteeing to refinance , until september 2009.  that is a long time.  the buyer may have sold the , buyers choice of terms up to 30 years.  the existing note does not come due , what i am willing to do is lower the second note to 8% amortized over the , are the three biggest concerns.  , large cash reserves needed, and the limited financial resources of the buyer , reasons that i won't commit to this.  exposure to interest fluctuations, the , years and drop the rate on both notes at that point to 8%.  there are several , i am not willing to guarantee to refinance the 1st lien on the stage in 4 , jeff,, property.  interest rates may be lower.  i am bending over backwards to make }"
468,"{raised your issue to sally beck.  larry is going to spend time with you to , susan,, see if he can live without any reports.  also some it help should be on the , way., phillip}"
469,"{scott/hou/ect@ect, errol mclaughlin/corp/enron@enron, 02/02/2001 02:43 pm, like this and not lose good people., thanks, cc: phillip k allen/hou/ect@ect, john arnold/hou/ect@ect , larry may@enron, as you might be aware,  susan scott (the book admin for the pipe option book) , larry, am friday  in order to calc my book.  while she is scheduled to rotate to the , west desk soon,  i think we need to discuss putting two persons on my book in , order to bring the work load to a sustainable level.  i'd like to meet at , 2:30 pm on monday to discuss this issue.  please let me know if this time , fits in your schedules., thanks,, was forced by system problems to stay all night wednesday night and until 200 , the information that he needs to be effective and so that we can run books , late is usually running numerous extra models and spreadsheets.  (one , understanding from kyle etter,  who has left the company.), ---------------------- forwarded by phillip k allen/hou/ect on 02/05/2001 , 08:45 am ---------------------------, jeffrey c gossett, 02/02/2001 09:48 pm, i would like to get this resolved as soon as possible so that larry can get , when we meet,  i would like to address the following issues:, 1.)  i had at least 5 people here past midnight on both nights and i have , cc:  , 2.)  it is my understanding that susan was still booking new day deals on , thursday night at 8:30 b/c she did not get deal tickets from the trading , floor until after 5:00 p.m., 3.)  it is also my understanding that susan is done with the p&l and , benchmark part of her book often times by 6:00,  but that what keeps her here , suggestion might be a permanent it person on this book.)  (this was also my , several people who have not left before 10:30 this week. }"
470,"{remember that as a manager you need to set the example for the tenants.  it , regarding the raise,  $260/week plus the apartment is all i can pay right , now.  i increased your pay last year very quickly so you could make ends meet , but i think your wages equate to $10/hr and that is fair.  as gary and wade , continue to improve the property, i need you to try and improve the , property's tenants and reputation.  the apartments are looking better and , better, yet the turnover seems to be increasing.  , phillip, them around and let them know what a nice quiet well maintained place it is.  , realize you have had a lot of issues with taking your son to the doctor and , your daughter being a teenager, but you need to put in 40 hours and be , working in the office or on the property during office unless you are running , an errand for the property., i am not upset that you asked for a raise, but the answer is no at this , time.  we can look at again later in the year., i will talk to you later or you can email or call over the weekend., in that are not on the lease, when the manager has a houseful of guests.  i , property.  occasionally, a buyer might stop buy without jeff and you can show , is hard to tell tenants that they are not supposed to have extra people move , email and msn messenger.  he was not trying to insult you.  i let jeff know , that he should try and meet the prospective buyers when they come to see the , ---------------------- forwarded by phillip k allen/hou/ect on 02/02/2001 ,    , 	, 	, 	from:  phillip k allen                           02/02/2001 02:40 pm, 	, cc:  , 04:43 pm ---------------------------, please fix #41 balance by deleting the $550 in the ""rent due"" column.  the , other questions i had about last week's rent are:, #15  only paid 95 of their 190 on 1/19 then paid nothing on 1/26.  what is , going on?, #25  looks like she was short by 35 and still owes a little on deposit, #27 switched to weekly, but paid nothing this week.  why?, i spoke to jeff smith.  i think he was surprised that we were set up with , lucy,}"
471,"{better, yet the turnover seems to be increasing.  , remember that as a manager you need to set the example for the tenants.  it , is hard to tell tenants that they are not supposed to have extra people move , in that are not on the lease, when the manager has a houseful of guests.  i , realize you have had a lot of issues with taking your son to the doctor and , your daughter being a teenager, but you need to put in 40 hours and be , time.  we can look at again later in the year., an errand for the property., i am not upset that you asked for a raise, but the answer is no at this , i will talk to you later or you can email or call over the weekend., phillip, property's tenants and reputation.  the apartments are looking better and , working in the office or on the property during office unless you are running , continue to improve the property, i need you to try and improve the , i spoke to jeff smith.  i think he was surprised that we were set up with , now.  i increased your pay last year very quickly so you could make ends meet , lucy,, please fix #41 balance by deleting the $550 in the ""rent due"" column.  the , other questions i had about last week's rent are:, #15  only paid 95 of their 190 on 1/19 then paid nothing on 1/26.  what is , going on?, but i think your wages equate to $10/hr and that is fair.  as gary and wade , #25  looks like she was short by 35 and still owes a little on deposit, email and msn messenger.  he was not trying to insult you.  i let jeff know , that he should try and meet the prospective buyers when they come to see the , property.  occasionally, a buyer might stop buy without jeff and you can show , them around and let them know what a nice quiet well maintained place it is.  , regarding the raise,  $260/week plus the apartment is all i can pay right , #27 switched to weekly, but paid nothing this week.  why?}"
472,"{	from:  phillip k allen                           01/31/2001 01:23 pm, cc: llewter@austin.rr.com , 	, 	, 	,    , 03:43 pm ---------------------------, ---------------------- forwarded by phillip k allen/hou/ect on 02/02/2001 }"
473,"{some of their power plants to verify that they were off line for legitimate, reasons., the california independent system operator, which manages the state's power, grid and one of its wholesale power markets, and the california public, utilities commission began on-site inspections tuesday night of all power, plants in the state reporting that unplanned outages have forced shutdowns,, iso spokesman pat dorinson said., the state has had 11,000 mw off the grid since monday, 7,000 mw for, unplanned maintenance. the iso wednesday called a stage 2 power emergency, for the third consecutive day, meaning power reserves were below 5% and, customers who agreed to cut power in exchange for reduced rates may be, called on to do so., as reported earlier, reliant energy (rei) and southern energy inc. (soe), said they had been visited by representatives of the iso and puc tuesday, evening., representatives of the two organizations also visited plants owned by aes, and dynegy tuesday evening., aes told the visitors they couldn't perform an unannounced full inspection, of the company's 450-megawatt huntington beach power station until wednesday, morning, when the plant's full staff would be present, aes spokesman aaron, wednesday that representatives of california power officials had stopped by, los angeles (dow jones)--aes corp. (aes) and dynegy inc. (dyn) said,    by jessica berthold, thomas said., 7,000 mw of which is off-line for unplanned maintenance, according to the, iso., the iso manages grid reliability., as previously reported, the iso told utilities and the federal energy, regulatory commission wednesday that it would call a stage three power alert, at 5 pm pst (0100 gmt thursday), meaning power reserves in the state would, dip below 1.5% and rolling blackouts could be implemented to avoid grid, collapse. however, the iso said the action wouldn't result in rolling, blackouts., the iso and puc also inspected tuesday plants owned by dynegy inc (dyn),, reliant energy inc. (rei) and southern energy inc (soe)., duke's 1,500-mw moss landing plant was also inspected by puc representatives, in june, when some units were off-line for repairs, the duke spokesman said.,    -by jessica berthold, dow jones newswires; 323-658-3872;, jessica.berthold@dowjones.com, (end) dow jones newswires 07-12-00, 1317gmt copyright (c) 2000, dow jones & company inc, 13:17 gmt 7 december 2000 =dj calif regulators visit aes,dynegy off-line, power plants, (this article was originally published wednesday), about 11,000 mw of power has been off the state's power grid since monday,,    of dow jones newswires, thomas, as well as an iso spokesman, didn't know whether the representatives, pose a safety hazard if not repaired.,    aes units down due to expired emissions credits, ""we've been doing all we can to get back in service,"" lednicky said. ""we, even paid to have some specialized equipment expedited."", lednicky added that the puc seemed satisfied with dynegy's explanation of, why its units were off line., -by jessica berthold, dow jones newswires; 323-658-3872,, jessica.berthold@dowjones.com, (end) dow jones newswires 07-12-00, 1317gmt copyright (c) 2000, dow jones & company inc, g_nther a. pergher, senior analyst, dow jones & company inc., tel.  609.520.7067, fax. 609.452.3531, the information transmitted is intended only for the person or entity to, which it is addressed and may contain confidential and/or privileged, material.  any review, retransmission, dissemination or other use of, or, taking of any action in reliance upon, this information by persons or, entities other than the intended recipient is prohibited. if you received, this in error, please contact the sender and delete the material from any, computer., reasons generators say they are, iso spokesman pat dorinson said., the other for unplanned maintenance on boiler feedwater pumps, which could, returned wednesday for a full inspection., lednicky said one of the two units was off line for planned maintenance and, need to come and take a look for yourself, that's fine,'"" said dynegy, the huntington beach facility and units at two other aes facilities have, used up their nitrogen oxide, or nox, emission credits. they were taken down, two weeks ago in response to a request by the south coast air quality, management district to stay off line until emissions controls are deployed,, thomas said., aes has about 2,000 mw, or half its maximum output, off line. the entire, huntington plant is off line, as is 1,500 mw worth of units at its alamitos, and redondo beach plants., the iso has asked aes to return its off line plants to operations, but aes, has refused because it is concerned the air quality district will fine the, company $20 million for polluting., ""we'd be happy to put our units back, provided we don't get sued for it,"", thomas said. ""it's not clear to us that the iso trumps the air quality, district's"" authority., as reported, a spokesman for the air quality district said tuesday that aes, could have elected to buy more emission credits so that it could run its off,    dynegy's el segundo plant also visited by puc, dynegy inc. (dyn) said the puc visited its 1,200 mw el segundo plant tuesday, evening, where two of the four units, about 600 mw worth, were off line, wednesday., ""i guess our position is, 'gee, we're sorry you don't believe us, but if you, spokesman lynn lednicky., since tuesday evening to verify that those plants are shut down for the, line plants in case of power emergencies, but choose not to do so., wednesday morning, a duke spokesman said.,      12/07/2000 06:11 am, 	, cc:  , calif iso, puc inspect off-line duke south bay pwr plant, dj calif regula , the iso and puc have been inspecting all off-line power plants in the state, tors visit aes,dynegy off-line power plants, 13:18 gmt 7 december 2000 dj cal-iso pays $10m to avoid rolling blackouts, wed -sources, (this article was originally published wednesday), los angeles (dow jones)--the california independent system operator paid, about $10 million wednesday for 1,000 megawatts of power from powerex and, still faced a massive deficit that threatened electricity reliability in the, state, high-ranking market sources familiar with the iso's operation told, dow jones newswires., but the iso fell short of ordering rolling blackouts wednesday for the third, consecutive day., the iso wouldn't comment on the transactions, saying it is sensitive market, information. but sources said powerex, a subsidiary of british columbia, hydro & power authority (x.bch), is the only energy company in the northwest, region with an abundant supply of electricity to spare and the iso paid, about $900 a megawatt-hour from the early afternoon through the evening., 	from:  ""pergher, gunther"" <gunther.pergher@dowjones.com>                      , but that still wasn't enough juice., 	, am ---------------------------,  calif iso, puc inspect off-line duke south bay pwr plant, dj calif regula,  tors visit aes,dynegy off-line power plants, ---------------------- forwarded by phillip k allen/hou/ect on 12/07/2000 , 09:08 am ---------------------------, jeff richter, 12/07/2000 06:31 am, cc:  , calif iso, puc inspect off-line duke south bay pwr plant, dj calif regula , tors visit aes,dynegy off-line power plants, ---------------------- forwarded by jeff richter/hou/ect on 12/07/2000 08:38 , am ---------------------------, carla hoffman, 12/07/2000 06:19 am, richter/hou/ect@ect, phillip platter/hou/ect@ect, mike swerzbin/hou/ect@ect, , diana scholtes/hou/ect@ect, sean crandall/pdx/ect@ect, matt , motley/pdx/ect@ect, mark guzman/pdx/ect@ect, tom alonso/pdx/ect@ect, mark , fischer/pdx/ect@ect, monica lande/pdx/ect@ect, cc:  , calif iso, puc inspect off-line duke south bay pwr plant, dj calif regula , tors visit aes,dynegy off-line power plants, ---------------------- forwarded by carla hoffman/pdx/ect on 12/07/2000 06:29 ,    , the los angeles department of water and power sold the iso 1,200 megawatts, 	enron capital & trade resources corp., $250/mwh. the ladwp, which is not governed by the iso, needs 3,800 megawatts, dorinson said., edison international unit (eix) southern california edison, sempra energy, unit (sre) san diego gas & electric, pg&e corp. (pcg) unit pacific gas &, electric and several municipal utilities in the state will share the cost of, the high-priced power., socal edison and pg&e are facing a debt of more than $6 billion due to high, wholesale electricity costs. the utilities debt this week could grow by, nearly $1 billion, analysts said. it's still unclear whether retail, customers will be forced to pay for the debt through higher electricity, rates or if companies will absorb the costs., -by jason leopold, dow jones newswires; 323-658-3874;, jason.leopold@dowjones.com, (end) dow jones newswires 07-12-00, 1318gmt copyright (c) 2000, dow jones & company inc, 13:17 gmt 7 december 2000 dj calif iso, puc inspect off-line duke south bay, pwr plant, (this article was originally published wednesday), los angeles (dow jones)--representatives of the california independent, system operator and public utilities commission inspected duke energy, corp.'s (duk) off-line 700-mw south bay power plant in chula vista, calif.,, of power later in the day at the wholesale electricity price cap rate of, a means of attracting additional electricity resources., but iso spokesman patrick dorinson said it would call a stage three only as, ""in order to line up (more power) we have to be in a dire situation,"", interrupted on a statewide basis to keep the grid from collapsing., of power to serve its customers. it is free sell power instate above the, $250/mwh price cap., the ladwp has been very vocal about the amount of power it has to spare. the, municipal utility has also reaped huge profits by selling its excess power, into the grid when supply is tight and prices are high. however, the ladwp, is named as a defendant in a civil lawsuit alleging price gouging. the suit, claims the ladwp sells some of its power it gets from the federal bonneville, power administration, which sells hydropower at cheap rates, back into the, powerex officials wouldn't comment on the iso power sale, saying all, transactions are proprietary. but the company also sold the iso 1,000, megawatts tuesday - minutes before the iso was to declare rolling blackouts, market at prices 10 times higher., the iso, whose main job is to keep electricity flowing throughout the state, when the iso's operating reserves fall to less than 1.5% and power is, - for $1,100 a megawatt-hour, market sources said., a conference call that it would call a stage-three power emergency, the iso warned federal regulators, generators and utilities wednesday during, wednesday, but wouldn't order rolling blackouts. a stage three is declared, to compete with investor-owned utilities in the northwest that are willing, which means its operating reserves fell to less than 5%. the iso is having, no matter what the cost, started the day with a stage-two power emergency,, to pay higher prices for power in a region where there are no price caps.}"
474,"{larry, am friday  in order to calc my book.  while she is scheduled to rotate to the , thanks,, fits in your schedules., 2:30 pm on monday to discuss this issue.  please let me know if this time , order to bring the work load to a sustainable level.  i'd like to meet at , west desk soon,  i think we need to discuss putting two persons on my book in , was forced by system problems to stay all night wednesday night and until 200 , ---------------------- forwarded by phillip k allen/hou/ect on 02/02/2001 , cc: phillip k allen/hou/ect@ect, john arnold/hou/ect@ect , scott/hou/ect@ect, errol mclaughlin/corp/enron@enron, 02/02/2001 12:43 pm, larry may@enron, 03:00 pm ---------------------------, i would like to go to this meeting.  can you arrange it?, as you might be aware,  susan scott (the book admin for the pipe option book) }"
475,"{susan hours are out of hand.  we need to find a solution.  let's meet on , monday to assess the issue, phillip}"
476,"{phillip, hear from them., promising to have some feedback by monday.  i will let you know as soon as i , points next week.  the bank here in houston is dealing with their auditors , got your email.  i will let jacques know.  i guess we can work out the finer , this week, so unfortunately i did not hear from them this week.  the are }"
477,"{single slope roofs that are not connected to the center building.  , ps.  channel 2 in houston ran a story yesterday (feb. 2) about a home in , phillip allen, pallen70@hotmail.com or 713-463-8626(home), 713-853-7041(work), call or email to let me know if this would work for you.  , kingwood that had a poisonous strain of mold growing in the walls.  you , didn't have time for.  i can bring more detailed drawings of my new plan. , would like to see the progress on the house we looked at and tour the one we , would like to drive up on sunday afternoon on feb. 18 around 2 or 3 pm.  i , like to come and visit you again this month.  if it would work for you, i , i don't know if you can imagine the house i am trying to describe.  i would , skylights supported by metal posts.  i am envisioning the two wings to have , towards a plan with two wings and a covered courtyard in the center.  one , living.  i am planning to orient the house so that the garage faces the west. , courtyard and pool in the center this plan should promote more outdoor , plan still has the same number of rooms as the other plan but with the , guestroom downstairs with a game room + office/exercise room upstairs.  this , kid bedrooms + a laundry room upstairs.  the other wing would have a garage + , wing would have a living/dining kitchen plus master bedroom downstairs with 3 , not work out in the plan we discussed previously.  now, i am leaning more , to a slightly different plan.  there were too many design items that i could , the probability of building a house this year is increasing.  i have shifted , george,, should try their website or call the station to get the full story.  it would ,  the center courtyard would be covered with a metal roof with some fiberglass , makes a good case for breathable walls.}"
478,"{for $3000?, 8500?????  that's twice as valuable as your car!  can't you get a used one }"
479,"{nice.  how much?, are you trying to keep the economy going?}"
480,"{	, testing.  sell low and buy high, ---------------------- forwarded by phillip k allen/hou/ect on 01/31/2001 , 04:51 pm ---------------------------,    , 	, 	, 	from:  phillip k allen                           01/12/2001 08:58 am, cc:  , testing}"
481,"{1st lien    47,292, noi   100,000, transfer fee    7,500, cash required   14,500, 1st lien   473,500, 2nd lien   23,694, 2nd lien  225,000, cash flow  29,014, phillip, these numbers are using the conservative noi, if it comes in at $115k then , cash on cash return would be more like 300%.   this doesn't reflect the , additional profit opportunity of selling the property in the next few years , for a higher price., do you want to reconsider?  let me know., sales price  705,000, cash on cash  200%, definitely requires some time but it has the return to justify the effort., this deal with minimum cash.  a 10% note actually attractive. see below., repairs.  plus having a full time onsite maintenance man means no extra labor , jeff,, before you write off the stage, a few things to think about., 1.  operating expenses include $22,000 of materials for maintenance and , my job just doesn't give me the time to manage this property.  this property , cost for repairs.  there are only 44 units a lot of his time is spent on , repairs., 2.  what is an outside management firm going to do?  a full time onsite , manager is all that is required.  as i mentioned the prior manager has , that could do more make readies and lawn care.  if you turn it over to a , management company you could surely reduce the cost of a full time manager , onsite., 3.  considering #1 & #2 $115,000 noi is not necessarily overstated.  if you , want to be ultra conservative use $100,000 at the lowest., 4.  getting cash out is not a priority to me.  so i am willing to structure , interest in returning.  another alternative would be to hire a male manager }"
482,"{=20, sce dividends to its common shareholder and preferred stockholders and=20, most part being deferred to a future date., under the plan, capital improvement costs totaling $383 million are for the=, executive bonuses have been suspended, resulting in an additional cost=20, dan, be eliminated with approximately 75% of the total staff reduction coming fr=, =20, the plan provides for up to 2,000 full, part-time and contract positions to=, contract employees., savings of approximately $92 million., lt.=20, activity), highlights:, as of december 31, 2000, sce reported an overcollected balance in the=20, transition cost balancing account (tcba) account of $494.5 million. this=20, includes an estimated market valuation of its hydro facilities of $500=20, million and accelerated revenues of $175 million., as of december 31, 2000, sce reported an undercollected balance in sce=01,s=, =20, transition account (tra) of $4.49 billion., normally, the generation memorandum accounts are credited to the tcba at th=, total                                             $ 460, v. accounting mechanisms to track stranded cost recovery (tra and tcba=20, capital improvement costs                383, payable., improvement component as follows (in millions):, generally, these agreements provide for the debt becoming immediately due a=, nd=20, e=20, sce=01,s utility plant assets are used to secure outstanding mortgage bond=, =20, indebtedness, although there is some statutory capacity to issue more=20, indebtedness if it were feasible to do so., credit ratings agencies have downgraded sce=01,s credit ratings on most of =, its=20, rated indebtedness from solid corporate ratings to below investment grade=, =20, issues within the last three weeks., iii. energy cost scenarios, highlights, this report section uses different cpuc supplied assumptions to assess=20, various price scenarios upon sce=01,s projected cash depletion dates. under=,  such=20, scenarios, sce would have a positive cash balance until march 30, 2001., iv. cost containment initiatives, highlights, sce has adopted a $460 million cost reduction plan for the year 2001., the plan consists of an operation and maintenance component and a capital=, =20, operating and maintenance costs     $ 77, end of each year. however, the current generation memorandum account credit=, the tra is overstated., balance of $1.5 billion has not been credited to the tcba, pursuant to=20, =20, its parent, edison international, of approximately $4.8 billion., edison international used the funds from dividends to pay dividends to its=, =20, shareholders of $1.6 billion and repurchased shares of its outstanding comm=, on=20, stock of $2.7 billion, with the remaining funds being used for administrati=, ve=20, and general costs, investments, and other corporate purposes., [there is no section vii], during the same time period, sce paid dividends and other distributions to=, =20, sce=01,s payments for power to its affiliates were approximately $400-$500=, =20, million annually and remained relatively stable from 1996 through 1999.=20, in 2000, the payments increased by approximately 50% to over $600 million.=, =20, this increase correlates to the increase in market prices, for natural gas for the same period., a copy of the report is available on the commission website at=20, www.cpuc.ca.gov., =20, viii. earnings of california affiliates, positive cash flow from operations of $7 billion., =20, in the last five years, sce had generated net income of $2.7 billion and a=, d.01-01-018., costs of purchasing generation are tracked in the tra and revenues from=20, generation are tracked in the tcba. because these costs and revenues are=20, tracked separately, the net liability from procuring electric power, as=20, expressed in the tra, are overstated., turn proposal, as part of our review, the cpuc asked that we comment on the proposal of tu=, rn=20, to change certain aspects of the regulatory accounting for transition asset=, s.=20, our comments are summarized as follows:, the proposal would have no direct impact on the cash flows of sce in that i=, t=20, would not directly generate nor use cash., the proposal=01,s impact on sce=01,s balance sheet would initially be to sh=, ift=20, costs between two regulatory assets., turn=01,s proposal recognizes that because the costs of procuring power and=,  the=20, revenues from generating power are tracked separately, the undercollection =, in=20, vi. flow of funds analysis, highlights:, =20, sce=01,s loan agreements provide for specific clauses with respect to defau=, om=20, extend or renew credit as it has become due., n=20, hughes/hou/ees@ees, leasa lopez/hou/ees@ees, leticia botello/hou/ees@ees,=, =20, mark s muller/hou/ees@ees, marsha suggs/hou/ees@ees, marty sunde/hou/ees@ee=, s,=20, meredith m eggleston/hou/ees@ees, michael etringer/hou/ect@ect, michael=20, mann/hou/ees@ees, michelle d cisneros/hou/ect@ect, mike m smith/hou/ees@ees=, ,=20, mpalmer@enron.com, neil bresnan/hou/ees@ees, neil hong/hou/ees@ees, paul=20, kaufman/pdx/ect@ect, paula warren/hou/ees@ees, richard l=20, bass/hou/ees@ees, kathy dodgen/hou/ees@ees, ken gustafson/hou/ees@ees, kevi=, zdunkewicz/hou/ees@ees, richard leibert/hou/ees@ees, richard=20, badeer/hou/ect@ect, roger yang/sfo/ees@ees, rosalinda tijerina/hou/ees@ees,=, =20, sandra mccubbin/na/enron@enron, sarah novosel/corp/enron@enron, scott=20, gahn/hou/ees@ees, scott stoness/hou/ees@ees, sharon dick/hou/ees@ees,=20, skean@enron.com, susan j mara/na/enron@enron, tanya leslie/hou/ees@ees, tas=, ha=20, lair/hou/ees@ees, ted murphy/hou/ect@ect, terri greenlee/na/enron@enron, ti=, m=20, belden/hou/ect@ect, tony spruiell/hou/ees@ees, vicki sharp/hou/ees@ees,=20, vladimir gorny/hou/ect@ect, wanda curry/hou/ees@ees, william s=20, shapiro/na/enron@enron, rita hennessy/na/enron@enron, robert=20, hartsoe/corp/enron@enron, karen denne/corp/enron@enron, kathy=20, jeremy blachman/hou/ees@ees, jess hewitt/hou/ees@ees, joe=20, s,=20, at present, there are no additional sources of credit open to sce.,  edison, ---------------------- forwarded by phillip k allen/hou/ect on 01/31/2001=, =20, 07:12 am ---------------------------, susan j mara@enron, 01/30/2001 10:10 am, aden/hou/ees@ees, bill votaw/hou/ees@ees, brenda barreda/hou/ees@ees, carol=, moffett/hou/ees@ees, cathy corbin/hou/ees@ees, chris h foster/hou/ect@ect,=, =20, christina liscano/hou/ees@ees, christopher f calger/pdx/ect@ect, craig h=20, sutter/hou/ees@ees, dan leff/hou/ees@ees, debora whitehead/hou/ees@ees,=20, dennis benevides/hou/ees@ees, don black/hou/ees@ees, dorothy=20, youngblood/hou/ect@ect, douglas huth/hou/ees@ees, edward=20, sacks/corp/enron@enron, eric melvin/hou/ees@ees, erika dupre/hou/ees@ees,=, =20, evan hughes/hou/ees@ees, fran deltoro/hou/ees@ees, frank w=20, vickers/hou/ect@ect, gayle w muench/hou/ees@ees, ginger=20, dernehl/na/enron@enron, gordon savage/hou/ees@ees, harold g=20, buchanan/hou/ees@ees, harry kingerski/na/enron@enron, iris waser/hou/ees@ee=, s,=20, james d steffes/na/enron@enron, james w lewis/hou/ees@ees, james=20, wright/western region/the bentley company@exchange, jeff messina/hou/ees@ee=, bradford/hou/ect@ect, jubran whalan/hou/ees@ees, triley@enron.com, richard =, b=20, =20, =20, <rllamkin@seiworldwide.com>, =09=09 cc:=20, =09=09 subject: cpuc audit report on edison, the following are the highlights from the executive summary of the kpmg aud=, it=20, report on southern california edison:, =20, i. cash needs, highlights:, sce=01,s original cash forecast, dated as december 28, 2000, projects a com=, plete=20, cash depletion date of february 1, 2001. since then sce has instituted a=20, program of cash conservation that includes suspension of certain obligation=, s=20, based on daily cash forecasts and cash conservation activities, sce=01,s=20, available cash improved through january 19 from an original estimate of $51=, .8=20, million to $1.226 billion. the actual cash flow, given these cash=20, conservation activities, extends the cash depletion date., ii. credit relationships, highlights:, sanders/hou/ect@ect, robert c williams/enron_development@enron_development,=, sce has exercised all available lines of credit and has not been able to=20, <rsnichol@newwestenergy.com>, <curtis_l_kebler@reliantenergy.com>,=20, <jcgardin@newwestenergy.com>, <jsmollon@newwestenergy.com>,=20, and other measures.=20, <curt.hatton@gen.pge.com>, <foothill@lmi.net>, <camiessn@newwestenergy.com>=, ,=20, corbally/corp/enron@enron, bruno gaillard/eu/enron@enron, linda=20, robertson/na/enron@enron, phillip k allen/hou/ect@ect, ren, lazure/western=, =20, region/the bentley company@exchange, michael tribolet/corp/enron@enron,=20, phillip k allen/hou/ect@ect, christian yoder/hou/ect@ect, richard b=20, sanders/hou/ect@ect, jklauber@llgm.com, tamara johnson/hou/ees@ees, robert =, fulton/corp/enron@enron, gfergus@brobeck.com, kathryn=20, dwatkiss@bracepatt.com, rcarroll@bracepatt.com, donna=20, williams/enron_development@enron_development, cc: =20, c=20, ----- forwarded by susan j mara/na/enron on 01/30/2001 10:02 am -----, edison, <jdasovic@enron.com>, <susan_j_mara@enron.com>, <tamara_johnson@enron.com>,=, <rjhickok@duke-energy.com>, <gtbl@dynegy.com>, <jmpa@dynegy.com>,=20, =20, <billr@calpine.com>, <jackp@calpine.com>, <glwaas@calpx.com>,=20, <ken_czarnecki@calpx.com>, <gavaughn@duke-energy.com>,=20, =09=09 to: <barbara_klemstine@apsc.com>, <berry@apx.com>, <dcazalet@apx.com=, =09=09=20, =0901/30/2001 08:31 am, =09""daniel douglass"" <douglass@arterhadden.com>, >,=20}"
483,"{lucy,, what is the latest?  write me a note about what is going on and what issues , you need my help to deal with when you send the rentroll., phillip}"
484,"{                                       thank you , lucy, ______________________________________________________________________________,  - rentroll_1201.xls, get more from the web.  free msn explorer download : http://explorer.msn.com, a wk and 175.00 deposit they will be in by thursday or friday., _______, to do in there is touch up the walls .four adults will be moving in @130.00, ---------------------- forwarded by phillip k allen/hou/ect on 12/06/2000 ,        how are you and how is everyone? i sent you the rent roll #27 is, phillip,, cc:  , ""lucy gonzalez"" <stagecoachmama@hotmail.com> on 12/05/2000 08:34:54 am, 04:04 pm ---------------------------, moving out and i wknow that i will be able to rent it real fast.all i have}"
